symbol,identifier,purpose,lastPrice,change,pChange,previousClose,finalQuantity,totalTurnover,marketCap,yearHigh,yearLow,iep,chartTodayPath
HDFCLIFE,HDFCLIFEEQN,,630.1,35.9,6.04,594.2,110889,69871158,633757876713.51,761.2,511.4,630.1,https://nsearchives.nseindia.com/today/preOpen_HDFCLIFEEQN.svg
ADANIENT,ADANIENTEQN,,2500.0,111.85,4.68,2388.15,26110,65275000,591209072323.17,3743.9,2025.0,2500.0,https://nsearchives.nseindia.com/today/preOpen_ADANIENTEQN.svg
ADANIPORTS,ADANIPORTSEQN,,1179.95,51.05,4.52,1128.9,28004,33043319,830551094348.18,1621.4,995.65,1179.95,https://nsearchives.nseindia.com/today/preOpen_ADANIPORTSEQN.svg
BEL,BELEQN,,273.4,5.55,2.07,267.85,62484,17083125,957234338408.7,340.5,171.75,273.4,https://nsearchives.nseindia.com/today/preOpen_BELEQN.svg
TRENT,TRENTEQN,,6498.0,107.75,1.69,6390.25,1733,11261034,1419084388263.34,8345.0,2955.0,6498.0,https://nsearchives.nseindia.com/today/preOpen_TRENTEQN.svg
